"event_id","event_name","event_kind","category","start_date","end_date","start_time_local","timezone","city","country","venue_or_area","date_precision","diary_layer","alex_default_status","attendance_default","visibility","likely_rooms","commercial_pressure","privacy_risk","travel_logic","render_note","canon_note","source_type","source_url"
"samsung_unpacked_july_2025","Samsung Galaxy Unpacked July 2025","real_public","tech_launch","2025-07-09","2025-07-09","","America/New_York","New York","USA","Galaxy Unpacked","exact","commercial_inbox","public_weather","not_default","public","Serena,WME,Tech","very_high","medium","During Villa Serena stay; not attendance default","Use as context for Samsung-scale tech pressure.","Can appear in inbox as Samsung global campaign logic after the fact.","public","https://news.samsung.com/us/samsung-galaxy-unpacked-july-2025-the-ultra-experience-is-ready-to-unfold-invitation-livestream"
"goodwood_fos_2025","Goodwood Festival of Speed 2025","real_public","auto_luxury","2025-07-10","2025-07-13","","Europe/London","Chichester","UK","Goodwood Estate","exact","public_weather","public_weather","not_default","public","Auto,London Lot,Summer House","high","medium","During Villa Serena stay; UK return unlikely","Use as automotive/luxury calendar weather; do not assume attendance.","Relevant to Aston/Rolls/Range Rover/Porsche/Ford/McLaren pressure.","official","https://media.goodwood.com/2025-festival-of-speed-set-to-celebrate-the-winning-formula---champions-and-challengers/"
"bbc_proms_2025","BBC Proms 2025","real_public","music_festival","2025-07-18","2025-09-13","","Europe/London","London","UK","Royal Albert Hall and other venues","exact","public_weather","public_weather","not_default","public","Music,Serena,BBC","medium","medium","London local after 5 Aug","Use as public music/institution weather; dangerous if classical-boxing him.","Proms may produce inbox/offers but Alex is not a classical musician in his own eyes.","official","https://music-events.api.bbc.co.uk/proms/events/by/date/2025"
"education_boundary_expiry","Education-first boundary expires","canon_state","career_boundary","2025-08-01","2025-08-01","","Europe/Rome","Porto Cervo","Italy","Villa Serena / Sardinia orbit","exact","locked_state","active","attended","private_structural","Serena,AW,FAM,Brain Trust","very_high","high","Still in Sardinia/travel orbit","Render as state change not a party or announcement.","After this, adult public choices can begin; do not pre-choose them.","canon",""
"albury_private_tour","Private completed Albury tour with Sophie Ashby and Judith","canon_private","house_handover","2025-08-05","2025-08-05","afternoon","Europe/London","London","UK","Albury House","exact","past_context","completed","attended","private","AW Assets,Albury Staff,Sophie Ashby","low","high","London local after Sardinia flight","Show in backstory if diary includes 5 Aug.","Sophie Ashby and Judith/Knight Frank walk him through completed house and mechanics.","canon",""
"brain_trust_albury_dinner","Brain Trust/private friends Albury dinner and tour","canon_private","friend_social","2025-08-05","2025-08-05","evening","Europe/London","London","UK","Albury House","exact","past_context","completed","attended","private","Brain Trust,Legacy close orbit","low","high","London local","Show as private dinner/tour; no Serena inbox knowledge.","Apple, Iris, Lila, Kaia, Rocco and friends can have seen Albury before public AD drop.","canon",""
"villa_serena_departure","Alex leaves Villa Serena for London","canon_private","summer_travel","2025-08-05","2025-08-05","","Europe/Rome","Porto Cervo to London","Italy/UK","Villa Serena to London","exact","past_context","completed","attended","private","Brain Trust,Boys,FAM,AW","low","medium","Routine three-hour annual flight back to London","Show as normal travel back, not dramatic re-entry.","Ends Alex's personal 8 Jul-5 Aug Villa Serena stay; villa remains open seasonally.","canon",""
"boys_albury_visit","Boys over at Albury","canon_private","friend_social","2025-08-06","2025-08-06","","Europe/London","London","UK","Albury House","exact","past_context","completed","attended","private","Boys","low","high","London local","Show as private house/backstory if diary includes 6 Aug.","Boys know private visit texture but not staff/security/AW/al.x mechanics.","canon",""
"ad_albury_drop","Architectural Digest Albury cover story and YouTube tour drops","canon_public","media_release","2025-08-07","2025-08-07","","Europe/London","Global","Global","Architectural Digest / YouTube","exact","locked_current","confirmed_public","not_attendance","public","Press,Public,Brain Trust,Boys,Legacy,London Lot","high","medium","No travel","Show as public release happening alongside meeting.","Sophie Ashby tours five floors - both basements, raised ground, two guest floors; the music floor and private top floor are not shown; not Alex's first adult voice/profile.","canon",""
"charles_st_meeting_open","First post-boundary Charles Street meeting","canon_scene","work_meeting","2025-08-07","2025-08-07","late morning","Europe/London","London","UK","12 Charles Street, Mayfair","exact","locked_current","confirmed","attended","private","Serena,AW,al.x","very_high","high","London local","Default live opening; render as current primary diary block.","First post-graduation/post-boundary team meeting while AD drops. Catherine/Latham already in early; Alex is a rare office visitor, not daily operator.","canon",""
"monterey_car_week_2025","Monterey Car Week 2025","real_public","auto_luxury","2025-08-08","2025-08-17","","America/Los_Angeles","Monterey","USA","Monterey / Pebble Beach / The Quail orbit","exact","commercial_inbox","possible_invite","not_default","public_industry","Auto,Serena,WME,Legacy","high","medium","Long-haul from London; immediately after opening","Use as automotive inbox pressure and public luxury weather.","Aston/Bentley/Rolls/Porsche/Ferrari/Ford/Lucid-type offers can reference this lane.","public","https://www.motor1.com/features/768242/monterey-car-week-2025-everything-to-know/"
"guards_gosh_polo_hold","Guards charity polo match for Great Ormond Street","canon_soft_hold","polo_sport","2025-08-09","2025-08-09","Saturday","Europe/London","Windsor","UK","Guards Polo Club","exact","soft_hold","soft_hold","not_locked","public_private_edge","Polo,London Lot,FAM,Serena","medium","medium","London/Windsor easy","Render as a hold/known possibility unless Ryan locks attendance.","Alex may play position 3 for White's; upcoming beat but not hard-coded outcome.","canon",""
"premier_league_2025_26_open","Premier League 2025/26 season opens","real_public","sport_football","2025-08-15","2025-08-17","","Europe/London","England","UK","Premier League grounds","exact","public_weather","public_weather","not_attendance","public","Boys,London Lot,Legacy,Sport","low","low","Local London/social TV weather unless a match invite appears","Use as background sport chatter and weekend social texture.","Public football weather only; do not force attendance.","official","https://www.premierleague.com/en/news/4171848"
"made_by_google_2025","Made by Google Pixel 10 event","real_public","tech_launch","2025-08-20","2025-08-20","13:00 ET","America/New_York","New York","USA","Brooklyn / Made by Google","exact","commercial_inbox","public_weather","not_default","public","Serena,WME,Tech","high","medium","Possible US trip but not default","Use as tech-launch weather and Google/YouTube/Pixel commercial context.","Can be in inbox as global tech attention play.","public","https://www.androidcentral.com/phones/google-pixel/google-officially-sets-a-date-for-its-pixel-10-launch-event"
"notting_hill_carnival_2025","Notting Hill Carnival 2025","real_public","street_culture","2025-08-24","2025-08-25","10:00","Europe/London","London","UK","Notting Hill","exact","social_weather","social_overlap","not_default","public","London Lot,Legacy,Brain Trust","low","high","Local but high-public-risk","Use as London weather; friends may mention plans; do not assume Alex goes into the crowd.","If used, security/pap/crowd logic matters.","official","https://www.london.gov.uk/notting-hill-carnival-2025"
"burning_man_2025","Burning Man 2025","real_public","global_festival","2025-08-24","2025-09-01","","America/Los_Angeles","Black Rock City","USA","Black Rock Desert","exact","public_weather","public_weather","not_default","public","Summer House,Artists,Tech,LA Lot","low","medium","Long-haul and deliberately impractical from London/Sardinia orbit","Use as a thing friends mention, not an Alex default.","Not an Alex-coded obligation; a wider fame-weather event.","official","https://history.burningman.org/timeline/2025"
"us_open_tennis_2025","US Open Tennis 2025","real_public","sport_tennis","2025-08-24","2025-09-07","","America/New_York","New York","USA","USTA Billie Jean King National Tennis Center","exact","public_weather","possible_invite","not_default","public","New York,Legacy,Sport,Fashion,WME","medium","medium","Transatlantic; clashes with Venice/Telluride and late summer travel","Use for New York celebrity/sport invitations and brand hospitality.","Possible invite, not canon attendance.","official","https://www.usopen.org/"
"apple_vanderbilt_classes","Apple Martin Vanderbilt classes begin","canon_friend","friend_constraint","2025-08-26","2025-08-26","","America/Chicago","Nashville","USA","Vanderbilt University","exact","friend_weather","friend_constraint","not_alex_event","private","Brain Trust","low","low","Apple geography changes after this date","Use to explain Apple availability/geography.","Apple would 100 percent have come back from Sardinia before classes.","canon",""
"venice_film_festival_2025","Venice International Film Festival 2025","real_public","film_festival","2025-08-27","2025-09-06","","Europe/Rome","Venice","Italy","Lido di Venezia","exact","likely_invite","possible_invite","not_default","public_industry","Legacy,Fashion,Film,Serena,WME","medium","high","Short Europe flight; easy from London/Italy","Use as global red-carpet/social/fashion pressure.","Strong fashion/film/social lane; not automatically a music move.","official","https://www.labiennale.org/en/cinema/2025/dates-and-deadlines"
"f1_dutch_gp_2025","Dutch Grand Prix 2025","real_public","sport_auto","2025-08-29","2025-08-31","","Europe/Amsterdam","Zandvoort","Netherlands","Circuit Zandvoort","exact","possible_invite","possible_invite","not_default","public_vip","Auto,Luxury,Sport,WME","medium","medium","Short Europe flight; late-summer weekend pressure","Use as F1/luxury hospitality option.","Possible paddock invite only.","official","https://www.formula1.com/en/racing/2025"
"telluride_film_festival_2025","Telluride Film Festival 2025","real_public","film_festival","2025-08-29","2025-09-01","","America/Denver","Telluride","USA","Telluride venues","exact","public_weather","public_weather","not_default","public_industry","Film,LA Lot,WME","low","medium","Long-haul; overlaps Venice and US Open","Use as film-world chatter around awards season starts.","Not an Alex default.","official","https://www.telluridefilmfestival.org/"
"tiff_2025","Toronto International Film Festival 2025","real_public","film_festival","2025-09-04","2025-09-14","","America/Toronto","Toronto","Canada","TIFF venues","exact","possible_invite","possible_invite","not_default","public_industry","Film,Legacy,Serena,WME","medium","medium","North America long-haul","Use as film-world weather and possible friend/media overlap.","50th edition; not Alex default unless Ryan chooses.","public","https://www.destinationtoronto.com/events/annual-festivals-and-events/toronto-international-film-festival/"
"f1_italian_gp_2025","Italian Grand Prix 2025","real_public","sport_auto","2025-09-05","2025-09-07","","Europe/Rome","Monza","Italy","Autodromo Nazionale Monza","exact","likely_invite","possible_invite","not_default","public_vip","Italy,Auto,Luxury,Serena,WME","high","medium","Easy from London or Milan; very Alex-adjacent brand weather","Use as Ferrari/Monza/luxury hospitality pressure.","Possible invite, not forced attendance.","official","https://www.formula1.com/en/racing/2025"
"mtv_vmas_2025","MTV Video Music Awards 2025","real_public","awards_show","2025-09-07","2025-09-07","20:00 ET","America/New_York","New York","USA","UBS Arena","exact","public_weather","possible_invite","not_default","public","Music,Legacy,Serena,WME","medium","medium","North America long-haul","Use as pop-culture weather; not a classical/music identity obligation.","Can be social/inbox noise if Alex's public attention is hot.","public","https://www.teenvogue.com/collection/mtv-vmas"
"apple_event_sep_2025","Apple September Event 2025","real_public","tech_launch","2025-09-09","2025-09-09","","America/Los_Angeles","Cupertino","USA","Apple Park","exact","commercial_inbox","possible_inbox","not_default","public","Serena,WME,Tech","very_high","high","Long-haul; tech-keynote pressure","Use as Apple brand pressure, distinct from Apple Music.","Huge cheque/visibility possible; sensitive public architecture.","public","https://www.macrumors.com/2025/08/26/apple-september-2025-event/"
"iaa_mobility_2025","IAA Mobility 2025","real_public","auto_luxury","2025-09-09","2025-09-14","","Europe/Berlin","Munich","Germany","Messe Munich and Munich city centre","exact","commercial_inbox","possible_inbox","not_attendance","public_industry","Auto,Tech,Luxury,WME,Serena","high","low","Short Europe flight; overlaps fashion/media season start","Use for BMW/Mercedes/Porsche/Audi mobility partnership weather.","Inbox pressure, not diary obligation.","official","https://www.iaa-mobility.com/en/press/press-releases/iaa-mobility-2025-its-all-about-mobility-claim"
"nyfw_sep_2025","New York Fashion Week September 2025","real_public","fashion_week","2025-09-11","2025-09-16","","America/New_York","New York","USA","NYFW venues","exact","likely_invite","likely_invite","not_default","public_industry","Fashion,Legacy,Serena,WME","high","high","North America long-haul; Apple is in Nashville by then","Use as global fashion pressure and friend/brand geography.","Could matter for Vogue/GQ/brand conversations; not automatic attendance.","official","https://cfda.com/news/cfda-releases-preliminary-official-new-york-fashion-week-schedule-for-september-2025/"
"goodwood_revival_2025","Goodwood Revival 2025","real_public","auto_luxury","2025-09-12","2025-09-14","","Europe/London","Chichester","UK","Goodwood Circuit","exact","possible_invite","possible_invite","not_default","public","Auto,London Lot,Legacy","medium","medium","London/Goodwood easy","Use as auto/heritage/luxury weather.","Possible Aston/Rolls/Range Rover/Bentley social context.","official","https://media.goodwood.com/one-week-to-go-goodwood-revival-2025/"
"london_design_festival_2025","London Design Festival 2025","real_public","art_design","2025-09-13","2025-09-21","","Europe/London","London","UK","London-wide","exact","public_weather","social_overlap","not_default","public","Design,Albury,Studio Ashby,London Lot","medium","medium","London local","Use as design/interiors weather after AD/Studio Ashby reveal.","Good for Sophie Ashby/Albury design orbit without forcing Alex attendance.","public","https://www.katycowan.co.uk/events/london-design-festival-25"
"emmys_2025","Primetime Emmy Awards 2025","real_public","awards_show","2025-09-14","2025-09-14","","America/Los_Angeles","Los Angeles","USA","Peacock Theater","exact","public_weather","public_weather","not_default","public","Film,TV,Legacy,Summer House","medium","medium","US west coast long-haul","Use as entertainment-industry weather only.","Not natural Alex event unless through friends/brand/media.","public","https://en.wikipedia.org/wiki/77th_Primetime_Emmy_Awards"
"lfw_sep_2025","London Fashion Week September 2025","real_public","fashion_week","2025-09-18","2025-09-22","","Europe/London","London","UK","LFW venues","exact","likely_invite","likely_invite","not_default","public_industry","Fashion,London Lot,Brain Trust,Serena,WME","high","medium","London local","Use as obvious London fashion pressure; do not make it first adult move by default.","Strong Vogue/GQ/brand context; he is known for fashion.","official","https://londonfashionweek.co.uk/about"
"f1_azerbaijan_gp_2025","Azerbaijan Grand Prix 2025","real_public","sport_auto","2025-09-19","2025-09-21","","Asia/Baku","Baku","Azerbaijan","Baku City Circuit","exact","possible_invite","possible_invite","not_default","public_vip","F1,Auto,Luxury,WME","medium","medium","Longer Europe-adjacent flight; overlaps London Fashion Week","Use as less-likely F1 hospitality competing with fashion weeks.","Do not force attendance.","official","https://www.formula1.com/en/racing/2025"
"oktoberfest_2025","Oktoberfest 2025","real_public","global_festival","2025-09-20","2025-10-05","","Europe/Berlin","Munich","Germany","Theresienwiese","exact","public_weather","public_weather","not_default","public","Summer House,Models,Legacy,Europe","low","medium","Short Europe flight but not an Alex obligation","Use as friend chatter, Europe travel conflict, or tabloidy weekend possibility.","Wider social weather only.","official","https://stadt.muenchen.de/dam/Home/Stadtverwaltung/Referat-fuer-Arbeit-und-Wirtschaft/presse/pm/press-releases-OF/04_Oktoberfest2025.pdf"
"mfw_sep_2025","Milan Fashion Week September 2025","real_public","fashion_week","2025-09-23","2025-09-29","","Europe/Rome","Milan","Italy","MFW venues","exact","likely_invite","likely_invite","not_default","public_industry","Fashion,Legacy,Donatella,Serena,WME","high","high","Short flight; Casa Borgonuovo makes it easy","Use as Versace/Italian fashion pressure.","Strong Italian/fashion lane but not automatic attendance.","public","https://milanostyle.com/events/milano-fashion-week-settembre-2025/"
"monaco_yacht_show_2025","Monaco Yacht Show 2025","real_public","luxury_yacht","2025-09-24","2025-09-27","","Europe/Monaco","Monaco","Monaco","Port Hercule","exact","likely_invite","possible_invite","not_default","public_vip","Yachts,Luxury,Finance,Legacy,Serena","high","high","Short flight to Nice; easy if already in Milan/Paris fashion orbit","Use as yacht/luxury/family-office pressure, not a party default.","Possible family-office and luxury hospitality invite.","official","https://www.visitmonaco.com/en/grand-rendez-vous/7487/monaco-yacht-show"
"nyff_2025","New York Film Festival 2025","real_public","film_festival","2025-09-26","2025-10-13","","America/New_York","New York","USA","Film at Lincoln Center","exact","public_weather","public_weather","not_default","public_industry","Film,New York,WME,Legacy","medium","medium","Transatlantic; overlaps Paris Fashion Week and Frieze build-up","Use as New York film/intellectual celebrity weather.","Not default attendance.","official","https://www.bam.org/film/2025/nyff"
"pfw_sep_oct_2025","Paris Fashion Week September/October 2025","real_public","fashion_week","2025-09-29","2025-10-07","","Europe/Paris","Paris","France","PFW venues","exact","likely_invite","likely_invite","not_default","public_industry","Fashion,Legacy,Serena,WME","high","high","Short flight/train; Appartement Varenne makes it easy","Use as global luxury/fashion pressure.","Strong Paris apartment logistics; not automatic attendance.","official","https://www.fhcm.paris/en/node/6309"
"f1_singapore_gp_2025","Singapore Grand Prix 2025","real_public","sport_auto","2025-10-03","2025-10-05","","Asia/Singapore","Singapore","Singapore","Marina Bay Street Circuit","exact","possible_invite","possible_invite","not_default","public_vip","F1,Asia,Luxury,Tech,WME","high","high","Long-haul; Asia-facing brand and night-race glamour","Use as major global paddock/brand hospitality pressure.","Possible invite only.","official","https://www.formula1.com/en/racing/2025"
"bfi_london_film_festival_2025","BFI London Film Festival 2025","real_public","film_festival","2025-10-08","2025-10-19","","Europe/London","London","UK","BFI Southbank and London venues","exact","possible_invite","possible_invite","not_default","public_industry","London,Film,Actors,Legacy,WME","medium","medium","London local; low travel friction","Use for premieres, friends' films, and London red-carpet pressure.","Possible invite, not default attendance.","official","https://www.bfi.org.uk/london-film-festival/news/full-programme-69th-bfi-london-film-festival"
"dreamforce_2025","Dreamforce 2025","real_public","tech_conference","2025-10-14","2025-10-16","","America/Los_Angeles","San Francisco","USA","Moscone Center and Salesforce+","exact","commercial_inbox","possible_inbox","not_attendance","public_industry","Tech,AI,Brand,WME,AW Holdings","high","low","Transatlantic; can matter without Alex travelling","Use as tech brand partnership and AI/business inbox weather.","Inbox pressure, not attendance.","official","https://www.salesforce.com/dreamforce"
"frieze_london_2025","Frieze London and Frieze Masters 2025","real_public","art_design","2025-10-15","2025-10-19","","Europe/London","London","UK","Regent's Park","exact","likely_invite","social_overlap","not_default","public_industry","Art,London Lot,Legacy,Fashion","medium","medium","London local","Use as art/fashion/social weather and party pressure.","Good for London Lot/collecting/art-room chatter.","official","https://www.frieze.com/fairs/frieze-london/visitor-information"
"f1_us_gp_2025","United States Grand Prix 2025","real_public","sport_auto","2025-10-17","2025-10-19","","America/Chicago","Austin","USA","Circuit of the Americas","exact","possible_invite","possible_invite","not_default","public_vip","F1,US,Tech,Music,WME","high","medium","Transatlantic; overlaps US media and tech circuits","Use as F1 plus Austin/social/media weather.","Possible invite only.","official","https://www.formula1.com/en/racing/2025"
"art_basel_paris_2025_vip","Art Basel Paris 2025 VIP Preview","real_public","art_design","2025-10-22","2025-10-23","","Europe/Paris","Paris","France","Grand Palais","exact","possible_invite","possible_invite","not_default","public_industry","Art,Fashion,Legacy","medium","medium","Paris apartment easy","Use as Paris art/fashion collector weather.","VIP preview before public fair.","official","https://www.artbasel.com/stories/art-basel-unveils-leading-galleries-and-first-details-for-its-2025-paris-show?lang=en"
"art_basel_paris_2025","Art Basel Paris 2025","real_public","art_design","2025-10-24","2025-10-26","","Europe/Paris","Paris","France","Grand Palais","exact","public_weather","social_overlap","not_default","public_industry","Art,Fashion,Legacy","medium","medium","Paris apartment easy","Use as Paris public art-world weather.","Could connect to Appartement Varenne and fashion/art circles.","official","https://www.grandpalais.fr/en/node/2119"
"f1_mexico_city_gp_2025","Mexico City Grand Prix 2025","real_public","sport_auto","2025-10-24","2025-10-26","","America/Mexico_City","Mexico City","Mexico","Autodromo Hermanos Rodriguez","exact","possible_invite","possible_invite","not_default","public_vip","F1,Latin America,Luxury,WME","medium","medium","Long-haul; mostly useful as global F1 calendar weather","Use as paddock/travel conflict if Alex is already in the Americas.","Not default attendance.","official","https://www.formula1.com/en/racing/2025"
"albury_winter_operations_review_2025","Albury winter operations and staffing review","canon_private","private_admin","2025-11-03","2025-11-03","","Europe/London","London","UK","Albury House / Charles Street","exact","private_admin","possible_admin","not_locked","private","Judith,House Staff,Serena Management,Security","low","low","London local","Use as house operations pressure after the public AD reveal settles.","Private admin placeholder; schedule can move in live state.","canon",""
"cfda_awards_2025","CFDA Fashion Awards 2025","real_public","fashion_awards","2025-11-03","2025-11-03","","America/New_York","New York","USA","American Museum of Natural History","exact","possible_invite","possible_invite","not_default","public_industry","Fashion,Legacy,Serena,WME","high","medium","North America long-haul","Use as US fashion awards pressure.","Possible if US fashion route active; not default.","official","https://cfda.com/events/cfda-fashion-awards/2025/"
"f1_sao_paulo_gp_2025","Sao Paulo Grand Prix 2025","real_public","sport_auto","2025-11-07","2025-11-09","","America/Sao_Paulo","Sao Paulo","Brazil","Interlagos","exact","possible_invite","possible_invite","not_default","public_vip","F1,Latin America,Luxury,WME","medium","medium","Long-haul; unlikely unless already in Americas","Use as global F1 weather and brand hospitality option.","Not default attendance.","official","https://www.formula1.com/en/racing/2025"
"web_summit_lisbon_2025","Web Summit Lisbon 2025","real_public","tech_conference","2025-11-10","2025-11-13","","Europe/Lisbon","Lisbon","Portugal","MEO Arena / FIL","exact","commercial_inbox","possible_inbox","not_attendance","public_industry","Tech,Startups,AI,WME,AW Holdings","high","low","Short Europe flight; can create investor/brand invitations","Use as tech-startup inbox pressure, not culture-room pressure.","Commercial weather only unless Ryan chooses attendance.","public","https://www.visitlisboa.com/en/events/web-summit-lisboa_"
"dubai_airshow_2025","Dubai Airshow 2025","real_public","business_forum","2025-11-17","2025-11-21","","Asia/Dubai","Dubai","UAE","Dubai World Central","exact","commercial_inbox","possible_inbox","not_attendance","public_industry","Aviation,Luxury,Finance,Family Office","medium","low","Long-haul; relevant to family-office aviation and Gulf invitations","Use as private aviation/luxury/business weather.","Inbox/business context, not default attendance.","official","https://www.dubaiairshow.aero/"
"slush_2025","Slush 2025","real_public","tech_conference","2025-11-19","2025-11-20","","Europe/Helsinki","Helsinki","Finland","Helsinki Expo and Convention Centre","exact","commercial_inbox","possible_inbox","not_attendance","public_industry","Tech,Startups,VC,AW Holdings","medium","low","Short-ish Europe flight; mostly VC/startup signal","Use as investor/AI/startup context for the office inbox.","Commercial weather only.","official","https://slush.org/speakers"
"f1_las_vegas_gp_2025","Las Vegas Grand Prix 2025","real_public","sport_auto","2025-11-20","2025-11-22","","America/Los_Angeles","Las Vegas","USA","Las Vegas Strip Circuit","exact","likely_invite","possible_invite","not_default","public_vip","F1,US,Luxury,Celebrity,WME","high","high","Transatlantic; high-noise celebrity and sponsor weekend","Use as a major WME/brand hospitality pressure point.","Possible invite, not canon attendance.","official","https://www.formula1.com/en/racing/2025"
"f1_qatar_gp_2025","Qatar Grand Prix 2025","real_public","sport_auto","2025-11-28","2025-11-30","","Asia/Qatar","Lusail","Qatar","Lusail International Circuit","exact","possible_invite","possible_invite","not_default","public_vip","F1,Gulf,Luxury,Finance","medium","medium","Long-haul Gulf swing; overlaps year-end business pressure","Use as Gulf hospitality/business weather.","Not default attendance.","official","https://www.formula1.com/en/racing/2025"
"fashion_awards_london_2025","The Fashion Awards 2025","real_public","fashion_awards","2025-12-01","2025-12-01","","Europe/London","London","UK","Royal Albert Hall","exact","likely_invite","likely_invite","not_default","public_industry","Fashion,London Lot,Serena,WME","high","medium","London local","Use as major London fashion/public-room pressure.","Strong likely invite if his adult fashion/public profile is active.","official","https://www.britishfashioncouncil.co.uk/bfcnews/4695/COLMAN-DOMINGO-TO-HOST--THE-FASHION-AWARDS-2025-PRESENTED-BY-PANDORA"
"aws_reinvent_2025","AWS re:Invent 2025","real_public","tech_conference","2025-12-01","2025-12-05","","America/Los_Angeles","Las Vegas","USA","AWS campus venues","exact","commercial_inbox","possible_inbox","not_attendance","public_industry","Tech,AI,Cloud,AW Holdings","high","low","Can matter through inbox without travel","Use as tech-platform and AI commercial weather.","Commercial context only.","official","https://www.aboutamazon.com/news/aws/what-is-aws-reinvent"
"miami_art_week_2025","Miami Art Week 2025","real_public","art_design","2025-12-01","2025-12-07","","America/New_York","Miami","USA","Miami and Miami Beach","exact","likely_invite","possible_invite","not_default","public_vip","Art,Collectors,Legacy,Fashion,LA Lot","high","high","Transatlantic; high-party/high-collector density","Use as art, collectors, parties, and brand dinners, not just art fair listings.","Possible invite only.","public","https://awo.miami-police.org/news/Miami%20Art%20Week%20News%20Release.pdf"
